@RELATION ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-02-S1092725406.shuffled-as.sat03-1719.cnf,1,kissat_cf,841.801,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-02-S1092725406.shuffled-as.sat03-1719.cnf,1,kissat_gb,756.892,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-02-S1092725406.shuffled-as.sat03-1719.cnf,1,kissat_MAB,19.305,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-02-S1092725406.shuffled-as.sat03-1719.cnf,1,kissat_sat_crvr_gb,1123.31,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-02-S1092725406.shuffled-as.sat03-1719.cnf,1,kissat_sc2021,754.352,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-02-S1092725406.shuffled-as.sat03-1719.cnf,1,kissat_sc2021_sat,824.957,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-02-S1092725406.shuffled-as.sat03-1719.cnf,1,kissat_sc2021_sweep,798.462,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-02-S1092725406.shuffled-as.sat03-1719.cnf,1,lstech_maple,768.487,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-02-S1092725406.shuffled-as.sat03-1719.cnf,1,Maple_MBDR_BJL6_Tier2,974.787,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-02-S1092725406.shuffled-as.sat03-1719.cnf,1,Maple_simp21,30.675,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-02-S1092725406.shuffled-as.sat03-1719.cnf,1,MapleSSV,557.195,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-02-S1092725406.shuffled-as.sat03-1719.cnf,1,opsat_R21,21.762,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-02-S1092725406.shuffled-as.sat03-1719.cnf,1,ParaFORST,826.408,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-02-S1092725406.shuffled-as.sat03-1719.cnf,1,ParaFORST_NoMDM,825.357,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-02-S1092725406.shuffled-as.sat03-1719.cnf,1,Relaxed_LCFTP,301.365,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-02-S1092725406.shuffled-as.sat03-1719.cnf,1,Relaxed_LCMDCBDL_SCAVEL01,1052.06,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-02-S1092725406.shuffled-as.sat03-1719.cnf,1,slime,338.639,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-03-S314965668.shuffled-as.sat03-1720.cnf,1,cadical_hack_gb,2188.63,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-03-S314965668.shuffled-as.sat03-1720.cnf,1,cadical_Less_UP,1737.24,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-03-S314965668.shuffled-as.sat03-1720.cnf,1,cadical_PriPro,1403.85,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-03-S314965668.shuffled-as.sat03-1720.cnf,1,cadical_rp,2203.29,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-03-S314965668.shuffled-as.sat03-1720.cnf,1,cadical_sc2021,2640.04,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-03-S314965668.shuffled-as.sat03-1720.cnf,1,cadical_SCAVEL01,2496.78,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-03-S314965668.shuffled-as.sat03-1720.cnf,1,cleanMaple,10000,timeout
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-03-S314965668.shuffled-as.sat03-1720.cnf,1,hCaD,2835.97,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-03-S314965668.shuffled-as.sat03-1720.cnf,1,hKis,2850.91,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-03-S314965668.shuffled-as.sat03-1720.cnf,1,kissat_bonus,2751.71,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-03-S314965668.shuffled-as.sat03-1720.cnf,1,kissat_cf,3282.64,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-03-S314965668.shuffled-as.sat03-1720.cnf,1,kissat_gb,3021.47,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-03-S314965668.shuffled-as.sat03-1720.cnf,1,kissat_MAB,4172.78,ok
datas/sc2002/random/dequen/treshold/gencnf-k10-r720-v38-c27360-03-S314965668.shuffled-as.sat03-1720.cnf,1,kissat_sat_crvr_gb,2957.7,ok
