@RELATION ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-log.shuffled-as.sat03-2.cnf,1,kissat_sc2021_sweep,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-log.shuffled-as.sat03-2.cnf,1,lstech_maple,1757.14,ok
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-log.shuffled-as.sat03-2.cnf,1,Maple_MBDR_BJL6_Tier2,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-log.shuffled-as.sat03-2.cnf,1,Maple_simp21,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-log.shuffled-as.sat03-2.cnf,1,MapleSSV,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-log.shuffled-as.sat03-2.cnf,1,opsat_R21,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-log.shuffled-as.sat03-2.cnf,1,ParaFORST,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-log.shuffled-as.sat03-2.cnf,1,ParaFORST_NoMDM,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-log.shuffled-as.sat03-2.cnf,1,Relaxed_LCFTP,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-log.shuffled-as.sat03-2.cnf,1,Relaxed_LCMDCBDL_SCAVEL01,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-log.shuffled-as.sat03-2.cnf,1,slime,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,cadical_hack_gb,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,cadical_Less_UP,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,cadical_PriPro,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,cadical_rp,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,cadical_sc2021,920.6,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,cadical_SCAVEL01,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,cleanMaple,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,hCaD,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,hKis,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,kissat_bonus,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,kissat_cf,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,kissat_gb,1295.76,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,kissat_MAB,678.029,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,kissat_sat_crvr_gb,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,kissat_sc2021,3978.71,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,kissat_sc2021_sat,3892.93,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,kissat_sc2021_sweep,915.769,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,lstech_maple,497.832,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,Maple_MBDR_BJL6_Tier2,498.913,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,Maple_simp21,1013.38,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,MapleSSV,3593.63,ok
